id	lnClb	lnCub
co2_x	-14.50865774	1
dhlpro_m	-14.50865774	1
coa_c	-14.50865774	1
coa_m	-14.50865774	1
dhnpt_c	-14.50865774	1
dhnpt_m	-14.50865774	1
coa_n	-14.50865774	1
coa_r	-14.50865774	1
dhor__S_c	-14.50865774	1
dhpmp_c	-14.50865774	1
coa_x	-14.50865774	1
dhpt_c	-14.50865774	1
f26bp_c	-14.50865774	1
coucoa_m	-14.50865774	1
dhpt_m	-14.50865774	1
cpppg3_c	-14.50865774	1
din_c	-14.50865774	1
f6p_c	-14.50865774	1
fad_c	-14.50865774	1
crn_c	-14.50865774	1
fad_m	-14.50865774	1
din_e	1	1
crn_e	1	1
dkmpp_c	-14.50865774	1
fadh2_m	-14.50865774	1
crn_m	-14.50865774	1
fald_c	-14.50865774	1
dmlz_c	-14.50865774	1
crn_x	-14.50865774	1
dmpp_c	-14.50865774	1
fdp_c	-14.50865774	1
dnad_c	-14.50865774	1
csn_c	-14.50865774	1
dnad_m	-14.50865774	1
fe2_c	-14.50865774	1
csn_e	1	1
fe2_e	1	1
dnad_n	-14.50865774	1
ctp_c	-14.50865774	1
dolichol_c	-14.50865774	1
fe2_m	-14.50865774	1
ctp_m	-14.50865774	1
fecost_c	-14.50865774	1
dolmanp_r	-14.50865774	1
cys__L_c	-14.50865774	1
dolp_c	-14.50865774	1
dolp_r	-14.50865774	1
fecost_e	-14.50865774	1
cys__L_e	1	1
fecostest_SC_c	-14.50865774	1
dpcoa_c	-14.50865774	1
cyst__L_c	-14.50865774	1
dpcoa_m	-14.50865774	1
fecostest_SC_e	-14.50865774	1
fgam_c	-14.50865774	1
cyst__L_x	-14.50865774	1
ficytc_m	-14.50865774	1
drib_c	-14.50865774	1
cystrna_c	-14.50865774	1
dscl_c	-14.50865774	1
fmettrna_m	-14.50865774	1
cytd_c	-14.50865774	1
fmn_c	-14.50865774	1
dtbt_c	-14.50865774	1
dtdp_c	-14.50865774	1
cytd_e	1	1
dtmp_c	-14.50865774	1
fmn_e	1	1
dad_2_c	-14.50865774	1
fmn_m	-14.50865774	1
dttp_c	-14.50865774	1
fmnh2_c	-14.50865774	1
dad_2_e	1	1
focytc_m	-14.50865774	1
dttp_e	-14.50865774	1
dadp_c	-14.50865774	1
dudp_c	-14.50865774	1
for_c	-14.50865774	1
dadp_n	-14.50865774	1
for_e	1	1
dudp_n	-14.50865774	1
dump_c	-14.50865774	1
dagpy_SC_c	-14.50865774	1
dump_n	-14.50865774	1
for_m	-14.50865774	1
damp_c	-14.50865774	1
fpram_c	-14.50865774	1
fprica_c	-14.50865774	1
duri_c	-14.50865774	1
dann_c	-14.50865774	1
duri_e	1	1
frdp_c	-14.50865774	1
dann_e	-14.50865774	1
dutp_c	-14.50865774	1
datp_c	-14.50865774	1
e4hglu_c	-14.50865774	1
db4p_c	-14.50865774	1
e4hglu_m	-14.50865774	1
frdp_m	-14.50865774	1
e4hglu_x	-14.50865774	1
dc2coa_x	-14.50865774	1
e4p_c	-14.50865774	1
fru_c	-14.50865774	1
fru_e	1	1
dcaACP_m	-14.50865774	1
fum_c	-14.50865774	1
e4p_m	-14.50865774	1
dca_c	-14.50865774	1
eig3p_c	-14.50865774	1
epist_c	-14.50865774	1
