reaction	g0
CSND	-29.6
CSNt2	1e-05
CSm	-38.2
CSp	-38.2
CTPS1	-6.2
CTPS2	-20.5
CTPtm	1e-05
CYOOm	1e-05
CYOR_u6m	-1e-05
CYSS	-51.0
CYSTGL	3.0
CYSTL	0.5
CYSTLp	0.5
CYSTRS	-1e-05
CYSTS	-30.7
CYSTtp	1e-05
CYSTtp_reverse	-1e-05
CYSt2r	1e-05
CYSt2r_reverse	-1e-05
CYTD	-14.4
CYTDK2	-12.5
CYTDt2	1e-05
CYTK1	1.7
CYTK1_reverse	-1.7
CYTK2	1.5
CYTK2_reverse	-1.5
DADA	-19.6
DADK	3.2
DADK_reverse	-3.2
DADNt2	1e-05
DADPtn	1e-05
DADPtn_reverse	-1e-05
DAGCPT_SC	1e-05
DAGPYP_SC	-904.0
DANNt2	1e-05
DANNt2_reverse	-1e-05
DASYN_SC	654.0
DASYN_SC_reverse	-654.0
DASYNm_SC	654.0
DASYNm_SC_reverse	-654.0
DB4PS	-87.6
DBTS	6.0
DBTS_reverse	-6.0
DCDPtn	1e-05
DCDPtn_reverse	-1e-05
DCMPDA	-23.8
DCMPDA_reverse	23.8
DCTPD	-30.0
DCYTD	-20.7
DCYTt2	1e-05
DDPA	-74.4
DDPAm	-74.4
DESAT14	-1e-05
DESAT16	-1e-05
DESAT18	-1e-05
DESAT18_2	1e-05
DGDPtn	1e-05
DGDPtn_reverse	-1e-05
DGGH	-10.7
DGK1	5.1
DGK1_reverse	-5.1
DGSNt2	1e-05
DHAD1m	-36.9
DHAD2m	-36.9
DHAK	-14.4
DHAPtm	1e-05
DHFR	-19.4
DHFRim	-19.4
DHFS	-19.8
DHFtm	1e-05
DHFtm_reverse	-1e-05
DHNPAm	-1e-05
DHNPTtm	1e-05
DHNPTtm_reverse	-1e-05
DHORD4i	-125.0
DHORDfum	-51.5
DHORDi	-123.0
DHORTS	-6.7
DHORTS_reverse	6.7
DHPSm	1e-05
DHPTtm	1e-05
DHPTtm_reverse	-1e-05
DHQS	-150.0
DHQTi	-5.3
DIAT	-22.9
DINSt2	1e-05
DIPS	1e-05
DKMPPD2	-208.3
DMATT	-79.2
DNMPPA	-8.8
DNTPPA	-65.0
DOLK	-1e-05
DOLPMMer	-1e-05
DOLPMTcer	1e-05
DOLPt2er	1e-05
DOLPt2er_reverse	-1e-05
DPCOAK	3.2
DPCOAKm	3.2
DPGM	-38.8
DPGM_reverse	38.8
DPMVD	-34.0
DPR	-16.5
DPRm	-16.5
DRBK	-25.1
DROPPRy	-1e-05
DRTPPD	1e-05
DTMPK	-1.6
DTMPK_reverse	1.6
DTTPt	1e-05
DTTPt_reverse	-1e-05
DUMPtn	1e-05
DUMPtn_reverse	-1e-05
DURIK1	-15.9
DURIPP	3.3
DURIPP_reverse	-3.3
DURIt2	1e-05
DUTPDP	-41.1
DXHPScm	-1e-05
D_LACDcm	-1e-05
D_LACDm	-1e-05
D_LACt2	1e-05
D_LACt2_reverse	-1e-05
D_LACt2m	1e-05
D_LACt2m_reverse	-1e-05
D_LACtm	1e-05
D_LACtm_reverse	-1e-05
E4HGLUtm	1e-05
E4HGLUtm_reverse	-1e-05
E4HGLUtp	1e-05
E4HGLUtp_reverse	-1e-05
E4Ptm	1e-05
E4Ptm_reverse	-1e-05
ECOAH11p	-1e-05
ECOAH11p_reverse	1e-05
ECOAH4p	-0.4
ECOAH4p_reverse	0.4
ECOAH5p	-0.4
ECOAH5p_reverse	0.4
ECOAH6p	-0.4
ECOAH6p_reverse	0.4
ECOAH7p	-0.4
ECOAH7p_reverse	0.4
ECOAH8p	-0.4
ECOAH8p_reverse	0.4
EHGLAT	-10.3
EHGLATm	-10.3
EHGLATp	-10.3
ENO	-3.81
ENO_reverse	3.81
EPGALURSe	1e-05
EPISTAT_SC	-1728.0
EPISTESTH_SC	152.1
EPISTESTH_SCe	152.1
EPISTt	1e-05
EPISTt_reverse	-1e-05
EPMGH	4.4
EPMGH_reverse	-4.4
ERGSTAT_SC	-1728.0
ERGSTESTH_SC	152.1
ERGSTESTH_SCe	152.1
ERGSTGLCT	-1e-05
ERGSTt	1e-05
ERGSTt_reverse	-1e-05
ERGSTter	1e-05
ERGSTter_reverse	-1e-05
ERGTETROLter	1e-05
ERGTETROLter_reverse	-1e-05
ETHAK	-24.5
ETHAPT_SC	550.3
ETHAPT_SC_reverse	-550.3
ETHAt	1e-05
ETHAt_reverse	-1e-05
ETOHt	1e-05
ETOHt_reverse	-1e-05
ETOHtm	1e-05
ETOHtm_reverse	-1e-05
EX_13BDglcn_e	1e-05
EX_2hb_e	202.8
EX_2mbac_e	-303.7
EX_2mbald_e	-313.8
EX_2mbtoh_e	-361.3
EX_2mppal_e	-220.6
EX_2phetoh_e	-403.3
EX_3c3hmp_e	388.3
EX_3mbald_e	-313.8
EX_3mop_e	63.5
EX_4abut_e	-15.5
EX_4abz_e	-56.0
EX_5aop_e	91.7
EX_8aonn_e	-284.0
EX_Nbfortyr_e	1e-05
EX_abt_e	278.6
EX_ac_e	240.1
EX_acald_e	-32.0
EX_aces_e	1e-05
EX_ade_e	-523.0
EX_adn_e	-368.3
EX_akg_e	622.2
EX_ala__L_e	67.0
EX_alltn_e	134.0
EX_alltt_e	346.0
EX_amet_e	-1e-05
EX_arab__D_e	315.4
EX_arab__L_e	331.7
EX_arg__L_e	-351.0
EX_asn__L_e	181.9
EX_asp__L_e	440.7
EX_btd_RR_e	1e-05
EX_btn_e	1e-05
EX_chol_e	-1e-05
EX_cit_e	954.8
EX_co2_e	386.0
EX_crn_e	-1e-05
EX_csn_e	-203.0
EX_cys__L_e	37.8
EX_cytd_e	-40.0
EX_dad_2_e	-530.5
EX_dann_e	-562.1
EX_dca_e	1e-05
EX_dcyt_e	-208.0
EX_ddca_e	1e-05
EX_dgsn_e	-0.0
EX_din_e	-269.5
EX_dttp_e	2609.0
EX_duri_e	54.0
EX_epist_e	-1e-05
EX_epistest_SC_e	1e-05
EX_ergst_e	-1e-05
EX_ergstest_SC_e	1e-05
EX_etha_e	-157.3
EX_etoh_e	-79.0
EX_fe2_e	82.1
EX_fe2_e_reverse	-82.1
EX_fecost_e	-1e-05
EX_fecostest_SC_e	1e-05
EX_fmn_e	551.0
EX_for_e	306.0
EX_fru_e	399.3
EX_fum_e	516.8
EX_g3pc_e	1e-05
EX_g3pi_e	0.0
EX_gal_e	392.1
EX_galur_e	705.1
EX_gam6p_e	1051.0
EX_gcald_e	121.2
EX_glc__D_e	399.1
EX_glc__D_e_reverse	-399.1
EX_gln__L_e	93.5
EX_glu__L_e	349.2
EX_glx_e	428.5
EX_gly_e	164.0
EX_glyc_e	149.5
EX_gsn_e	0.0
EX_gthox_e	559.0
EX_gthrd_e	253.0
EX_gua_e	-0.0
EX_h2o_e	152.1
EX_h2o_e_reverse	-152.1
EX_h_e	1e-05
EX_h_e_reverse	-1e-05
EX_hdca_e	-1073.6
EX_hdcea_e	1e-05
EX_hexc_e	1e-05
EX_his__L_e	-210.0
EX_hxan_e	-260.6
EX_iamac_e	-303.7
EX_iamoh_e	-361.3
EX_ibutac_e	-210.5
EX_ibutoh_e	-268.0
EX_id3acald_e	-486.0
EX_ile__L_e	-215.4
EX_ind3eth_e	-533.0
EX_inost_e	472.0
EX_ins_e	-106.1
EX_k_e	1e-05
EX_k_e_reverse	-1e-05
EX_lac__D_e	295.4
EX_lac__L_e	298.5
EX_lanost_e	-1e-05
EX_lanostest_SC_e	1e-05
EX_leu__L_e	-210.5
EX_lys__L_e	-284.2
EX_mal__L_e	672.3
EX_malt_e	632.0
EX_man_e	396.5
EX_melib_e	640.9
EX_met__L_e	-155.0
EX_mmet_e	-1e-05
EX_na1_e	1e-05
EX_na1_e_reverse	-1e-05
EX_nac_e	23.0
EX_nadp_e	2031.0
EX_nh4_e	-89.3
EX_nh4_e_reverse	89.3
EX_nmn_e	814.0
EX_o2_e	-16.4
EX_o2_e_reverse	16.4
EX_oaa_e	710.9
EX_ocdca_e	-1263.0
EX_ocdcea_e	-1254.0
EX_ocdcya_e	1e-05
EX_orn_e	-195.0
EX_pacald_e	-355.9
EX_pap_e	1417.3
EX_pc_SC_e	1e-05
EX_pectin_e	1e-05
EX_pepd_e	1e-05
EX_phe__L_e	-266.2
EX_pheac_e	-345.8
EX_pi_e	1056.1
EX_pi_e_reverse	-1056.1
EX_pnto__R_e	85.0
EX_pro__L_e	-83.0
EX_ptd1ino_SC_e	1e-05
EX_ptrc_e	-554.2
EX_pyr_e	339.8
EX_rib__D_e	312.8
EX_ribflv_e	-337.0
EX_sbt__D_e	342.8
EX_sbt__L_e	345.9
EX_ser__L_e	220.4
EX_so3_e	487.4
EX_so4_e	748.1
EX_so4_e_reverse	-748.1
EX_spmd_e	-921.0
EX_sprm_e	-1286.0
EX_srb__L_e	396.9
EX_succ_e	509.9
EX_sucr_e	621.7
EX_taur_e	0.0
EX_thm_e	-1e-05
EX_thmmp_e	-1e-05
