,kcat,MW,kcat_MW
HPROa,341.4404167,36.8389,9.26847481
HPROb,341.4404167,36.8389,9.26847481
HPROxm,341.4404167,36.8389,9.26847481
HPROym,341.4404167,36.8389,9.26847481
FMNRx,57.41004,36.8389,1.558408096
HSDxi,37.85093333,36.8389,1.027471866
IPDDI,1.2041,36.8389,0.032685558
IPDDI_reverse,1.2041,36.8389,0.032685558
FMNRx2,25.21666667,36.8389,0.684511933
IPMD,22.4561,36.8389,0.609575747
IPPMIa,3.2,36.8389,0.0868647
IPPMIa_reverse,3.2,36.8389,0.0868647
IPPMIb,3.2,36.8389,0.0868647
IPPMIb_reverse,3.2,36.8389,0.0868647
IPPS,125.312,36.8389,3.401621655
HSDy,4.6794,36.8389,0.127023337
HSDy_reverse,37.85093333,36.8389,1.027471866
HSERTA,20.92522222,36.8389,0.568019735
HSERTA_reverse,14.82615385,36.8389,0.40245919
HSK,13.13333333,36.8389,0.356507207
HSTPT,268.1982024,36.8389,7.280298879
HXPRT,6.027857143,36.8389,0.163627501
HYPOE,5.204444444,36.8389,0.141275783
ICDHxm,44.44393939,36.8389,1.206440458
IPPSm,125.312,36.8389,3.401621655
ITCOALm,36.68695652,36.8389,0.995875461
ITCOALm_reverse,36.68695652,36.8389,0.995875461
KARA1im,1.726,36.8389,0.046852648
KARA2im,1.655809091,36.8389,0.0449473
KYN,3.256666667,36.8389,0.088402929
KYN3OX,1.795,36.8389,0.048725668
LALDO3,1.558,36.8389,0.042292251
ICDHyr,24559.25463,36.8389,666.6663399
ICDHym,24559.25463,36.8389,666.6663399
ICDHyp,24559.25463,36.8389,666.6663399
ICL,25.486,36.8389,0.691823046
FOLD3m,77.02221538,36.8389,2.090784887
LCADi,87.95555556,36.8389,2.387572798
LEUTA,245.8909091,36.8389,6.674762523
LEUTA_reverse,138.7103448,36.8389,3.765322657
LEUTAm,245.8909091,36.8389,6.674762523
LEUTAm_reverse,138.7103448,36.8389,3.765322657
LEUTRS,3.126307692,36.8389,0.084864306
LEUTRSm,3.126307692,36.8389,0.084864306
IGPDH,1000,36.8389,27.14521878
IGPS,4.0975,36.8389,0.111227534
ILETA,271.8545455,36.8389,7.379551112
ILETA_reverse,138.7103448,36.8389,3.765322657
ILETAm,271.8545455,36.8389,7.379551112
ILETAm_reverse,138.7103448,36.8389,3.765322657
ILETRS,14.10815455,36.8389,0.382968942
ILETRSm,14.10815455,36.8389,0.382968942
LGTHL,970.1515148,36.8389,26.33497512
MACACI,244.3766667,36.8389,6.633658081
FRDcm,449.47,36.8389,12.20096148
LSERDHr,212.752,36.8389,5.775199585
LSERDHr_reverse,212.752,36.8389,5.775199585
LYSTRS,13.54076923,36.8389,0.367567143
LYSTRSm,13.54076923,36.8389,0.367567143
MALS,140.03,36.8389,3.801144985
MALSp,140.03,36.8389,3.801144985
MALT,20.089,36.8389,0.5453203
MAN1PT,104.4916667,36.8389,2.836449152
MAN6PI,13098.2772,36.8389,355.5556002
MAN6PI_reverse,9875.039667,36.8389,268.0601122
FRDm,449.47,36.8389,12.20096148
MCITL2m,60.27333333,36.8389,1.63613282
FRTT,0.906833333,36.8389,0.024616189
MCITSm,14.592,36.8389,0.396103032
MCOATA,5.369300001,36.8389,0.145750823
MCOATA_reverse,5.369300001,36.8389,0.145750823
MCOATAm,5.369300001,36.8389,0.145750823
MCOATAm_reverse,5.369300001,36.8389,0.145750823
MDH,1623.136111,36.8389,44.06038484
MDH_reverse,29993.64118,36.8389,814.1839517
MDHm,1623.136111,36.8389,44.06038484
MDHm_reverse,29993.64118,36.8389,814.1839517
MDHp,1623.136111,36.8389,44.06038484
MDHp_reverse,29993.64118,36.8389,814.1839517
MDRPD,16.5,36.8389,0.44789611
FTHFCL,1.608,36.8389,0.043649512
ME1m,131.217931,36.8389,3.561939445
ME2m,108.4894118,36.8389,2.944968817
MOHMT,0.781,36.8389,0.021200416
MTAP,6.209,36.8389,0.168544663
FTHFCLm,1.608,36.8389,0.043649512
MELTGH,138.6958333,36.8389,3.764928739
MELTGH_reverse,138.6958333,36.8389,3.764928739
METAT,1.67561883,36.8389,0.04548504
MTHFC,1778.042,36.8389,48.26533908
MTHFC_reverse,1778.042,36.8389,48.26533908
MTHFCm,1778.042,36.8389,48.26533908
MTHFCm_reverse,1778.042,36.8389,48.26533908
MTHFD,175.1076923,36.8389,4.753336617
MTHFD_reverse,175.1076923,36.8389,4.753336617
MTHFD2i,1.605,36.8389,0.043568076
MTHFDm,175.1076923,36.8389,4.753336617
MTHFDm_reverse,175.1076923,36.8389,4.753336617
MTHFR3,33.88205128,36.8389,0.919735695
METB1,51.57672727,36.8389,1.400061546
METS,170.3430667,36.8389,4.623999812
METTRS,2.017428571,36.8389,0.05476354
METTRSm,2.017428571,36.8389,0.05476354
FTHFLi,286.3618182,36.8389,7.773354204
NABTNO,5.927217839,36.8389,0.160895625
NADDPp,239.8454545,36.8389,6.510657336
NADH2_u6cm,18.01891668,36.8389,0.489127435
NADH2_u6m,18.01891668,36.8389,0.489127435
NADK,82.35727273,36.8389,2.235606186
MEVK1,59.91666667,36.8389,1.626451025
MEVK2,59.91666667,36.8389,1.626451025
MEVK3,59.91666667,36.8389,1.626451025
MEVK4,59.91666667,36.8389,1.626451025
MGSA,267.3846154,36.8389,7.258213882
MHPGLUT,0.399090909,36.8389,0.01083341
NADKm,82.35727273,36.8389,2.235606186
NADN,1280.885,36.8389,34.76990355
NADNm,1280.885,36.8389,34.76990355
FTHFLmi,286.3618182,36.8389,7.773354204
NADPPPS,125.9333333,36.8389,3.418487885
NADPPPSm,125.9333333,36.8389,3.418487885
FUM,564.9285714,36.8389,15.33510966
FUM_reverse,451.4958333,36.8389,12.25595317
MI1PP,69.45894737,36.8389,1.885478322
MI1PS,0.107403333,36.8389,0.002915487
NADS1,101.57532,36.8389,2.757284284
NADS1n,101.57532,36.8389,2.757284284
NDP1,61.45351,36.8389,1.668168974
NDP3,113.5368904,36.8389,3.08198373
NDP3g,113.5368904,36.8389,3.08198373
NDP4,62.67036842,36.8389,1.701200862
NDP7,145.6867037,36.8389,3.954697444
FUMm,564.9285714,36.8389,15.33510966
